HOLDINGS,TICKER,FUND WEIGHT,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
Humana Inc,HUM,0.00,Managed Health Care,US,---,"$1,222,538,573.93 ","3,190,091"
eBay Inc,EBAY,0.00,Broadline Retail,US,---,"$1,221,064,154.16 ","11,790,886"
Axon Enterprise Inc,AXON,0.00,Aerospace & Defense,US,---,"$1,212,924,508.48 ","2,140,858"
Carrier Global Corp,CARR,0.00,Building Products,US,---,"$1,207,447,576.90 ","20,739,395"
Exelon Corp,EXC,0.00,Electric Utilities,US,---,"$1,188,553,120.40 ","27,185,570"
Ventas Inc,VTR,0.00,Health Care REITs,US,---,"$1,178,042,123.43 ","12,921,379"
Republic Services Inc,RSG,0.00,Environmental & Facilities Services,US,---,"$1,173,684,114.12 ","5,312,711"
Nasdaq Inc,NDAQ,0.00,Financial Exchanges & Data,US,---,"$1,170,483,344.64 ","11,869,824"
IDEXX Laboratories Inc,IDXX,0.00,Health Care Equipment,US,---,"$1,166,019,493.02 ","2,094,558"
Block Inc,XYZ,0.00,Transaction & Payment Processing Services,US,---,"$1,165,841,138.16 ","14,214,108"
Occidental Petroleum Corp,OXY,0.00,Integrated Oil & Gas,US,---,"$1,161,030,292.86 ","19,292,627"
IQVIA Holdings Inc,IQV,0.00,Life Sciences Tools & Services,US,---,"$1,157,396,359.17 ","4,431,243"
Ferguson Enterprises Inc,FERG,0.00,Trading Companies & Distributors,US,---,"$1,156,590,879.73 ","5,151,623"
Vistra Corp,VST,0.00,Independent Power Producers & Energy Traders,US,---,"$1,156,411,430.88 ","8,418,224"
